Origin,Dest,typical_distance,typical_hour
OKC,BNA,616,13
OKC,BTR,502,14
OKC,CAE,943,10
OKC,CLT,940,13
OKC,DCA,1158,14
OKC,DEN,495,11
OKC,DFW,175,11
OKC,HOU,419,12
OKC,HSV,616,12
OKC,IAH,395,13
OKC,LAS,986,13
OKC,LAX,1187,8
OKC,LGA,1341,7
OKC,MCO,1069,13
OKC,MDW,691,13
OKC,MIA,1222,6
OKC,MSP,694,7
OKC,ORD,693,11
OKC,PHX,833,14
OKC,SAT,407,14
OKC,SEA,1519,14
OKC,SFB,1061,10
OKC,SLC,866,8
OKC,STL,462,6
OKC,TYS,766,12
OKC,VPS,726,15
OMA,ATL,821,11
OMA,AUS,772,14
OMA,AZA,1026,13
OMA,BNA,612,13
OMA,CLT,913,13
OMA,CMH,689,14
OMA,DAL,586,16
OMA,DCA,1012,11
OMA,DEN,472,13
OMA,DFW,583,11
OMA,DTW,651,10
OMA,EWR,1134,11
OMA,FLL,1383,12
OMA,HOU,804,13
OMA,IAH,781,6
OMA,LAS,1099,12
OMA,LAX,1330,15
OMA,LGA,1148,11
OMA,MCO,1211,14
OMA,MDW,423,12
OMA,MIA,1393,6
OMA,MSP,282,11
OMA,ORD,416,11
OMA,PGD,1269,12
OMA,PHX,1037,13
OMA,PIE,1188,10
OMA,SEA,1368,13
OMA,SFB,1195,18
OMA,SFO,1433,15
OMA,SLC,840,8
OMA,STL,342,12
OMA,TPA,1190,11
OMA,VPS,911,14
OME,ANC,539,17
OME,OTZ,183,17
ONT,ATL,1900,11
ONT,AUS,1196,10
ONT,BNA,1751,11
ONT,CLT,2078,22
ONT,DAL,1200,7
ONT,DEN,819,10
ONT,DFW,1188,10
ONT,ELP,670,13
ONT,HNL,2603,9
ONT,HOU,1345,8
ONT,IAH,1334,6
ONT,JFK,2429,23
ONT,LAS,197,14
ONT,MCO,2171,0
ONT,MDW,1706,7
ONT,OAK,362,13
ONT,PDX,838,13
ONT,PHX,325,12
ONT,SEA,956,11
ONT,SFO,363,10
ONT,SJC,333,13
ONT,SLC,558,13
ONT,SMF,390,12
ORD,ABE,655,18
ORD,ABQ,1118,10
ORD,ACK,924,10
ORD,AGS,677,10
ORD,ALB,723,11
ORD,ANC,2846,12
ORD,ASE,1013,10
ORD,ATL,606,13
ORD,ATW,160,15
ORD,AUS,977,13
ORD,AVL,536,13
ORD,AVP,632,17
ORD,BDL,783,13
ORD,BGR,978,11
ORD,BHM,584,10
ORD,BIL,1060,9
ORD,BNA,409,13
ORD,BOI,1437,9
ORD,BOS,867,13
ORD,BTV,763,14
ORD,BUF,474,14
ORD,BWI,622,13
ORD,BZN,1185,9
ORD,CAE,666,17
ORD,CAK,343,14
ORD,CHA,501,14
ORD,CHO,566,18
ORD,CHS,760,10
ORD,CID,196,15
ORD,CLE,316,14
ORD,CLL,915,11
ORD,CLT,599,12
ORD,CMH,296,15
ORD,CMI,135,18
ORD,CMX,360,16
ORD,COS,911,9
ORD,COU,315,19
ORD,CRW,416,14
ORD,CVG,264,14
ORD,DAL,798,13
ORD,DAY,240,14
ORD,DCA,612,13
ORD,DEC,156,13
ORD,DEN,888,13
ORD,DFW,802,12
ORD,DLH,397,12
ORD,DSM,299,16
ORD,DTW,235,14
ORD,EAU,269,21
ORD,ECP,810,10
ORD,EGE,1007,10
ORD,ELP,1236,9
ORD,EWR,719,13
ORD,EYW,1251,10
ORD,FAI,2785,16
ORD,FAR,557,15
ORD,FAT,1730,20
ORD,FCA,1352,8
ORD,FLL,1182,10
ORD,FNT,223,13
ORD,FOD,325,15
ORD,FSD,462,15
ORD,FWA,157,14
ORD,GEG,1498,20
ORD,GRB,173,15
ORD,GRR,137,15
ORD,GSO,589,17
ORD,GSP,577,15
ORD,GTF,1210,8
ORD,HDN,1009,9
ORD,HHH,781,10
ORD,HNL,4243,9
ORD,HPN,738,12
ORD,HRL,1219,9
ORD,HSV,510,17
ORD,HYS,637,11
ORD,IAD,588,13
ORD,IAH,925,13
ORD,ICT,588,15
ORD,ILM,760,8
ORD,IND,177,15
ORD,JAC,1162,9
ORD,JAX,864,14
ORD,JFK,740,11
ORD,JLN,484,21
ORD,JST,487,20
ORD,KOA,4213,11
ORD,LAS,1514,12
ORD,LAX,1744,14
ORD,LEX,323,14
ORD,LGA,733,12
ORD,LIT,552,15
ORD,LNK,466,12
ORD,LSE,215,14
ORD,MBS,222,13
ORD,MCI,403,15
ORD,MCO,1005,12
ORD,MCW,288,8
ORD,MDT,594,14
ORD,MEM,491,15
ORD,MGW,449,21
ORD,MHT,843,17
ORD,MIA,1197,10
ORD,MKE,67,16
ORD,MLI,139,14
ORD,MQT,303,18
ORD,MSN,108,15
ORD,MSO,1332,9
ORD,MSP,334,14
ORD,MSY,837,12
ORD,MTJ,1081,9
ORD,MVY,894,9
ORD,MYR,753,9
ORD,OGG,4184,9
ORD,OKC,693,14
ORD,OMA,416,15
ORD,ORF,717,18
ORD,PBI,1144,10
ORD,PDX,1739,13
ORD,PHL,678,14
ORD,PHX,1440,12
ORD,PIA,130,14
ORD,PIT,413,14
ORD,PNS,794,10
ORD,PSP,1651,10
ORD,PVD,849,14
ORD,PWM,900,11
ORD,RAP,779,9
ORD,RDU,646,12
ORD,RIC,642,18
ORD,RNO,1671,19
ORD,ROA,531,17
ORD,ROC,528,14
ORD,RST,268,16
ORD,RSW,1120,9
ORD,SAN,1723,15
ORD,SAT,1041,12
ORD,SAV,773,11
ORD,SBN,84,17
ORD,SCE,528,14
ORD,SDF,286,17
ORD,SEA,1721,14
ORD,SFO,1846,14
ORD,SGF,438,15
ORD,SJC,1829,19
ORD,SJU,2072,8
ORD,SLC,1250,13
ORD,SLN,559,15
ORD,SMF,1781,16
ORD,SNA,1726,10
ORD,SRQ,1050,10
ORD,STL,258,13
ORD,STT,2116,7
ORD,SUN,1341,8
ORD,SUX,436,21
ORD,SYR,607,14
ORD,TPA,1012,13
ORD,TUL,585,15
ORD,TUS,1437,10
ORD,TVC,224,16
ORD,TYS,475,14
ORD,VPS,796,8
ORD,XNA,522,15
ORF,ATL,516,11
ORF,BNA,585,15
ORF,BOS,468,13
ORF,BWI,159,13
ORF,CLT,290,11
ORF,CVG,485,12
ORF,DAL,1203,16
ORF,DCA,142,10
ORF,DEN,1553,8
ORF,DFW,1212,15
ORF,DTW,529,12
ORF,EWR,284,11
ORF,FLL,781,17
ORF,IAD,157,6
ORF,IAH,1201,6
ORF,JAX,542,15
ORF,JFK,290,9
ORF,LGA,296,12
ORF,MCO,655,15
ORF,MDW,704,16
ORF,MIA,802,6
ORF,MSP,1045,18
ORF,ORD,717,7
ORF,PHL,212,8
ORF,PIE,726,13
ORF,RSW,785,7
ORF,SFB,631,15
ORF,SJU,1414,21
ORF,STL,785,15
ORF,TPA,717,6
ORH,FLL,1211,15
ORH,JFK,150,13
ORH,LGA,146,16
ORH,MCO,1091,14
ORH,RSW,1220,15
OTH,DEN,1040,12
OTH,SFO,412,13
OTZ,ANC,548,11
PAE,HNL,2694,9
PAE,LAS,894,16
PAE,LAX,984,18
PAE,PHX,1133,15
PBG,FLL,1334,18
PBG,PGD,1311,11
PBG,PIE,1262,14
PBG,SFB,1175,12
PBG,SRQ,1292,18
PBI,ACY,936,10
PBI,AGS,474,12
PBI,ATL,545,12
PBI,AVL,620,13
PBI,BDL,1133,8
PBI,BOS,1197,12
PBI,BUF,1123,10
PBI,BWI,883,11
PBI,CLE,1020,15
PBI,CLT,590,11
PBI,CVG,892,15
PBI,DAL,1091,17
PBI,DCA,857,13
PBI,DEN,1679,15
PBI,DFW,1102,15
PBI,DTW,1086,14
PBI,EWR,1023,12
PBI,GRR,1158,18
PBI,HPN,1056,15
PBI,IAD,859,13
PBI,IAH,956,16
PBI,IND,967,14
PBI,ISP,1052,12
PBI,JFK,1028,11
PBI,LAX,2330,19
PBI,LGA,1035,13
PBI,MDW,1128,18
PBI,MSP,1451,16
PBI,ORD,1144,15
PBI,PHL,951,12
PBI,PIT,952,14
PBI,PVD,1148,12
PBI,SJU,1063,14
PBI,STL,1023,19
PBI,TTN,985,15
PBI,TYS,670,15
PDX,ABQ,1111,14
PDX,ANC,1542,22
PDX,ATL,2172,12
PDX,ATW,1662,15
PDX,AUS,1715,13
PDX,AZA,1028,17
PDX,BNA,1973,11
PDX,BOI,344,14
PDX,BOS,2537,10
PDX,BUR,817,15
PDX,BWI,2358,13
PDX,BZN,554,14
PDX,CLT,2282,22
PDX,CMH,2034,9
PDX,DAL,1626,11
PDX,DCA,2350,9
PDX,DEN,991,11
PDX,DFW,1616,9
PDX,DSM,1471,9
PDX,DTW,1953,11
PDX,EWR,2434,10
PDX,FAT,626,18
PDX,FLL,2694,8
PDX,GEG,279,12
PDX,GRR,1833,9
PDX,HNL,2603,8
PDX,IAD,2327,8
PDX,IAH,1825,12
PDX,IDA,539,15
PDX,IND,1877,11
PDX,JFK,2454,7
PDX,KOA,2607,7
PDX,LAS,763,13
PDX,LAX,834,12
PDX,LGB,846,10
PDX,LIH,2631,7
PDX,MCI,1482,11
PDX,MCO,2534,8
PDX,MDW,1751,7
PDX,MIA,2700,21
PDX,MSO,418,14
PDX,MSP,1426,11
PDX,OAK,543,12
PDX,OGG,2562,8
PDX,ONT,838,17
PDX,ORD,1739,11
PDX,PHL,2406,23
PDX,PHX,1009,12
PDX,PSP,873,14
PDX,PVU,664,16
PDX,RNO,444,10
PDX,SAN,933,14
PDX,SBA,784,10
PDX,SBP,722,12
PDX,SEA,129,11
PDX,SFO,550,13
PDX,SJC,569,13
PDX,SLC,630,13
PDX,SMF,479,12
PDX,SNA,859,12
PDX,STL,1708,9
PDX,STS,489,16
PDX,TPA,2497,10
PDX,TUS,1119,13
PGD,ABE,1018,14
PGD,ALB,1185,14
PGD,ATW,1250,13
PGD,AVL,588,16
PGD,BGR,1433,7
PGD,BLV,921,12
PGD,BNA,692,14
PGD,BWI,899,18
PGD,CAK,965,8
PGD,CID,1170,11
PGD,CVG,850,11
PGD,DAY,904,14
PGD,DSM,1206,15
PGD,ELM,1090,7
PGD,FNT,1111,12
PGD,FSD,1415,14
PGD,FWA,986,8
PGD,GRR,1118,14
PGD,HTS,790,18
PGD,IAD,869,15
PGD,IAG,1129,11
PGD,IND,916,12
PGD,LCK,890,12
PGD,LEX,781,14
PGD,MCI,1126,9
PGD,MDT,963,8
PGD,MDW,1076,8
PGD,MLI,1113,14
PGD,MSP,1386,14
PGD,OMA,1269,9
PGD,PBG,1311,7
PGD,PIA,1045,8
PGD,PIT,941,13
PGD,PSM,1279,9
PGD,PVD,1184,14
PGD,RFD,1127,9
PGD,RIC,779,19
PGD,ROC,1143,10
PGD,SAV,362,20
PGD,SBN,1049,14
PGD,SDF,806,10
PGD,SGF,975,15
PGD,SPI,994,8
PGD,STC,1447,10
PGD,SWF,1101,14
PGD,SYR,1164,8
PGD,TOL,1016,8
PGD,TVC,1245,14
PGD,TYS,624,16
PGD,USA,588,12
PHL,ACK,289,14
PHL,AGS,583,15
PHL,ATL,666,13
PHL,AUS,1430,10
PHL,AVL,504,18
PHL,BDL,196,19
PHL,BGR,473,13
PHL,BHM,772,12
PHL,BNA,675,13
PHL,BOS,280,13
PHL,BTV,335,14
PHL,BUF,279,14
PHL,CHS,550,13
PHL,CLE,363,15
PHL,CLT,449,13
PHL,CMH,406,15
PHL,CVG,507,15
PHL,DAL,1295,14
PHL,DAY,477,19
PHL,DCA,119,15
PHL,DEN,1558,12
PHL,DFW,1303,12
PHL,DTW,453,13
PHL,ECP,886,9
PHL,EWR,80,6
PHL,EYW,1121,10
PHL,FLL,992,12
PHL,GRR,573,8
PHL,GSO,365,16
PHL,GSP,515,18
PHL,HHH,609,10
PHL,HOU,1335,11
PHL,IAD,135,10
PHL,IAH,1325,12
PHL,ILM,413,15
PHL,IND,588,15
PHL,JAX,742,15
PHL,LAS,2176,15
PHL,LAX,2402,15
PHL,LEX,520,8
PHL,LGA,96,14
PHL,MCI,1038,13
PHL,MCO,861,13
PHL,MDW,668,13
PHL,MEM,875,11
PHL,MHT,289,19
PHL,MIA,1013,10
PHL,MKE,690,15
PHL,MSN,764,14
PHL,MSP,980,11
PHL,MSY,1089,13
PHL,MVY,265,14
PHL,MYR,473,15
PHL,ORD,678,12
PHL,ORF,212,18
PHL,PBI,951,15
PHL,PDX,2406,18
PHL,PHX,2075,13
PHL,PIT,268,15
PHL,PNS,935,10
PHL,PVD,237,14
PHL,PWM,364,14
PHL,RDU,337,14
PHL,RIC,198,15
PHL,ROA,311,13
PHL,ROC,257,11
PHL,RSW,993,11
PHL,SAN,2370,15
PHL,SAT,1496,9
PHL,SAV,629,15
PHL,SBN,594,12
PHL,SCE,153,19
PHL,SDF,576,15
PHL,SEA,2378,18
PHL,SFO,2521,16
PHL,SJU,1576,17
PHL,SLC,1927,7
PHL,SRQ,957,9
PHL,STL,814,14
PHL,STT,1605,10
PHL,SYR,228,21
PHL,TPA,920,12
PHL,TTN,36,8
PHL,TVC,627,10
PHL,TYS,554,16
PHL,VPS,908,10
PHL,XNA,1066,11
PHX,ABQ,328,14
PHX,AGS,1731,12
PHX,ANC,2552,18
PHX,ASE,491,9
PHX,ATL,1587,13
PHX,AUS,872,13
PHX,AVL,1683,11
PHX,BFL,425,14
PHX,BHM,1455,12
PHX,BIL,873,20
PHX,BNA,1449,13
PHX,BOI,735,13
PHX,BOS,2300,17
PHX,BUF,1912,14
PHX,BUR,369,13
PHX,BWI,1999,12
PHX,CID,1252,9
PHX,CLE,1737,13
PHX,CLT,1773,11
PHX,CMH,1670,15
PHX,COS,551,15
PHX,CVG,1569,12
PHX,DAL,879,12
PHX,DCA,1979,12
PHX,DEN,602,13
PHX,DFW,868,12
PHX,DRO,351,16
PHX,DSM,1150,13
PHX,DTW,1671,11
PHX,EGE,513,12
PHX,ELP,347,15
PHX,EUG,952,11
PHX,EWR,2133,15
PHX,FAR,1225,19
PHX,FAT,493,14
PHX,FLG,119,15
PHX,FLL,1972,12
PHX,FSD,1081,9
PHX,GEG,1020,13
PHX,GJT,438,15
PHX,GRR,1574,16
PHX,HNL,2917,9
PHX,HOU,1020,12
PHX,IAD,1956,10
PHX,IAH,1009,13
PHX,ICT,870,19
PHX,IDA,695,9
PHX,IND,1488,13
PHX,JAX,1786,15
PHX,JFK,2153,13
PHX,KOA,2860,11
PHX,LAS,255,13
PHX,LAX,370,13
PHX,LBB,588,19
PHX,LGA,2149,15
PHX,LGB,355,12
PHX,LIH,2979,10
PHX,LIT,1136,12
PHX,MAF,581,19
PHX,MCI,1044,12
PHX,MCO,1849,15
PHX,MDW,1444,12
PHX,MEM,1264,18
PHX,MFE,965,0
PHX,MFR,854,11
PHX,MIA,1972,15
PHX,MKE,1460,11
PHX,MRY,598,13
PHX,MSN,1396,15
PHX,MSO,937,13
PHX,MSP,1276,12
PHX,MSY,1300,12
PHX,OAK,646,13
PHX,OGG,2845,10
PHX,OKC,833,12
PHX,OMA,1037,12
PHX,ONT,325,14
PHX,ORD,1440,12
PHX,PAE,1133,13
PHX,PDX,1009,14
PHX,PHL,2075,12
PHX,PIT,1814,15
PHX,PSC,962,10
PHX,PSP,261,14
PHX,PVU,468,9
PHX,RDM,893,14
PHX,RDU,1891,15
PHX,RNO,601,13
PHX,SAF,370,15
PHX,SAN,304,13
PHX,SAT,843,13
PHX,SBA,455,14
PHX,SBP,509,14
PHX,SCK,603,19
PHX,SDF,1506,12
PHX,SEA,1107,13
PHX,SFO,651,13
PHX,SGU,262,19
PHX,SJC,621,14
PHX,SLC,507,13
PHX,SMF,647,13
PHX,SNA,338,14
PHX,STL,1262,13
PHX,STS,699,13
PHX,TPA,1788,14
PHX,TUL,935,12
PHX,TUS,110,14
PHX,TYS,1599,15
PHX,XNA,1023,16
PHX,YUM,160,15
PIA,AZA,1312,13
PIA,BNA,353,15
PIA,CLT,607,10
PIA,DEN,793,9
PIA,DFW,672,7
PIA,FLL,1145,18
PIA,LAS,1413,21
PIA,ORD,130,11
PIA,PGD,1045,11
PIA,PIE,965,10
PIA,SFB,949,11
PIA,SRQ,1001,16
PIA,VPS,724,9
PIB,IAH,372,11
PIB,MEI,69,17
PIE,ABE,970,12
PIE,ALB,1138,15
PIE,ATW,1173,14
PIE,AVL,519,13
PIE,BGR,1394,14
PIE,BIS,1629,7
PIE,BLV,841,10
PIE,BMI,936,7
PIE,BNA,612,17
PIE,CAK,899,6
PIE,CHA,513,13
PIE,CID,1090,9
PIE,CKB,798,6
PIE,CVG,776,17
PIE,DAY,831,14
PIE,DSM,1126,12
PIE,ELM,1035,11
PIE,EVV,752,12
PIE,EYW,238,8
PIE,FAR,1519,7
PIE,FNT,1040,14
PIE,FSD,1334,9
PIE,FWA,912,15
PIE,GRR,1044,12
PIE,GSO,587,13
PIE,GSP,482,13
PIE,HGR,861,13
PIE,HTS,721,13
PIE,IAG,1069,8
PIE,ICT,1087,16
PIE,IND,840,15
PIE,LCK,821,12
PIE,LEX,707,13
PIE,LIT,734,18
PIE,MCI,1045,7
PIE,MDT,912,8
PIE,MEM,653,18
PIE,MFE,966,6
PIE,MLI,1033,15
PIE,OMA,1188,7
PIE,ORF,726,11
PIE,PBG,1262,11
PIE,PIA,965,8
PIE,PIT,878,15
PIE,PSM,1239,10
PIE,PVU,1857,16
PIE,RFD,1049,11
PIE,RIC,731,13
PIE,ROA,668,15
PIE,SAV,304,21
PIE,SBN,973,11
PIE,SDF,729,13
PIE,SGF,895,7
PIE,SWF,1055,7
PIE,SYR,1111,7
PIE,TOL,945,6
PIE,TRI,590,13
PIE,TUL,961,8
PIE,TVC,1172,9
PIE,TYS,550,15
PIE,USA,528,13
PIE,VPS,292,9
PIE,XNA,892,8
PIH,SLC,150,6
PIT,ATL,526,11
PIT,AUS,1210,12
PIT,BNA,462,14
PIT,BOS,496,11
PIT,BWI,210,11
PIT,CHS,524,18
PIT,CLE,106,15
PIT,CLT,366,10
PIT,DAL,1060,13
PIT,DCA,204,11
PIT,DEN,1290,12
PIT,DFW,1067,11
PIT,DTW,201,11
PIT,EWR,319,12
PIT,EYW,1102,13
PIT,FLL,994,12
PIT,HOU,1131,17
PIT,IAD,182,6
PIT,IAH,1117,12
PIT,JAX,694,10
PIT,JFK,340,9
PIT,LAS,1910,16
PIT,LAX,2136,19
PIT,LGA,335,12
PIT,MCO,834,11
PIT,MDW,402,14
PIT,MIA,1013,6
PIT,MLB,854,9
PIT,MSP,726,12
PIT,MYR,475,14
PIT,ORD,413,11
PIT,PBI,952,11
PIT,PGD,941,10
PIT,PHL,268,11
PIT,PHX,1814,10
PIT,PIE,878,12
PIT,RDU,328,16
PIT,RSW,966,12
PIT,SAN,2106,14
PIT,SAV,579,12
PIT,SEA,2125,9
PIT,SFB,809,13
PIT,SFO,2254,17
PIT,SLC,1660,17
PIT,SRQ,912,13
PIT,STL,554,11
PIT,TPA,873,12
PIT,VPS,775,17
PLN,DTW,243,14
PNS,ATL,271,11
PNS,AUS,626,13
PNS,BNA,391,12
PNS,CLE,811,17
PNS,CLT,488,11
PNS,CVG,608,11
PNS,DAL,592,10
PNS,DCA,816,11
PNS,DEN,1179,17
PNS,DFW,604,12
PNS,FLL,525,9
PNS,HOU,488,14
PNS,IAH,489,7
PNS,LGA,1030,14
PNS,MCI,743,12
PNS,MCO,381,16
PNS,MDW,781,12
PNS,MIA,530,10
PNS,ORD,794,14
PNS,PHL,935,13
PNS,STL,598,12
PPG,HNL,2599,23
PQI,BOS,333,5
PRC,DEN,557,8
PRC,LAX,346,17
PSC,AZA,977,17
PSC,DEN,852,5
PSC,LAS,732,12
PSC,LAX,851,7
PSC,MSP,1254,6
PSC,PHX,962,14
PSC,SEA,172,11
PSC,SFO,620,13
PSC,SLC,521,12
PSE,JFK,1617,5
PSE,MCO,1179,10
PSG,JNU,123,12
PSG,WRG,31,15
PSM,PGD,1279,12
PSM,PIE,1239,13
PSM,SFB,1144,17
PSM,SRQ,1266,11
PSP,ATL,1840,12
PSP,AUS,1132,13
PSP,BLI,1078,15
PSP,BOI,672,14
PSP,DAL,1137,13
PSP,DEN,776,11
PSP,DFW,1126,11
PSP,IAD,2188,13
PSP,IAH,1269,12
PSP,JFK,2378,14
PSP,LAS,173,12
PSP,LAX,110,8
PSP,MSP,1454,13
PSP,OAK,418,16
PSP,ORD,1651,12
PSP,PDX,873,11
PSP,PHX,261,12
PSP,SEA,987,13
PSP,SFO,421,13
PSP,SJC,390,11
PSP,SLC,541,12
PSP,SMF,439,7
PVD,ATL,903,12
PVD,BNA,906,11
PVD,BWI,327,12
PVD,CLT,683,10
PVD,CVG,722,20
PVD,DAL,1521,15
PVD,DCA,356,12
PVD,DEN,1737,13
PVD,DTW,615,12
PVD,EWR,160,17
PVD,FLL,1188,7
PVD,IAD,371,19
PVD,LGA,143,8
PVD,MCO,1072,13
PVD,MDW,842,12
PVD,MSP,1117,11
PVD,ORD,849,7
PVD,PBI,1148,14
PVD,PGD,1184,17
PVD,PHL,237,12
PVD,RSW,1200,9
PVD,SJU,1636,7
PVD,TPA,1136,14
PVU,AUS,1051,15
PVU,AZA,477,11
PVU,BNA,1388,9
PVU,DFW,958,12
PVU,HOU,1181,8
PVU,LAS,341,14
PVU,LAX,569,12
PVU,MDW,1254,8
PVU,PDX,664,11
PVU,PHX,468,8
PVU,PIE,1857,14
PVU,SAN,599,7
PVU,SFB,1898,10
PVU,SNA,565,9
PWM,ATL,1027,6
PWM,BNA,1010,14
PWM,BWI,452,12
PWM,CLT,813,12
PWM,CVG,810,20
PWM,DCA,482,12
PWM,DEN,1782,15
PWM,DFW,1622,15
PWM,DTW,668,5
PWM,EWR,284,11
PWM,IAD,493,14
PWM,JFK,273,12
PWM,LGA,269,12
PWM,MCO,1214,15
PWM,MDW,895,15
PWM,MSP,1136,11
PWM,ORD,900,12
PWM,PHL,364,12
PWM,RDU,700,12
PWM,TPA,1277,11
RAP,AZA,873,16
RAP,CLT,1322,11
RAP,DEN,300,11
RAP,DFW,835,12
RAP,LAS,843,16
RAP,LAX,1078,16
RAP,MSP,489,11
RAP,ORD,779,13
RAP,SFB,1599,14
RAP,SFO,1102,19
RDD,LAX,501,15
RDD,SEA,479,15
RDD,SFO,199,10
RDM,DEN,898,5
RDM,DFW,1514,12
RDM,LAX,726,15
RDM,PHX,893,13
RDM,SAN,823,17
RDM,SEA,228,11
RDM,SFO,462,13
RDM,SLC,525,12
RDU,ATL,356,12
RDU,AUS,1162,9
RDU,BDL,532,16
RDU,BNA,442,13
RDU,BOS,612,13
RDU,BUF,487,18
RDU,BWI,255,12
RDU,CLE,416,13
RDU,CLT,130,11
RDU,CVG,390,6
RDU,DAL,1052,15
RDU,DCA,227,14
RDU,DEN,1436,10
RDU,DFW,1061,11
RDU,DTW,501,13
RDU,EWR,416,12
RDU,FLL,680,12
RDU,HOU,1050,16
RDU,IAD,224,10
RDU,IAH,1042,15
RDU,IND,489,10
RDU,JFK,427,12
RDU,LAS,2026,7
RDU,LAX,2239,7
RDU,LGA,431,12
RDU,MCI,904,13
RDU,MCO,534,12
RDU,MDW,632,13
RDU,MIA,700,9
RDU,MKE,689,8
RDU,MSP,980,11
RDU,MSY,779,19
RDU,ORD,646,12
RDU,PHL,337,13
RDU,PHX,1891,7
RDU,PIT,328,18
RDU,PWM,700,10
RDU,SDF,415,12
RDU,SEA,2354,7
RDU,SFO,2400,9
RDU,SJU,1433,14
RDU,SLC,1823,18
RDU,STL,667,13
RDU,SYR,519,14
RDU,TLH,496,16
RDU,TPA,587,12
RDU,TTN,373,9
RFD,AZA,1373,15
RFD,BNA,438,11
RFD,LAS,1455,21
RFD,LAX,1686,18
RFD,PGD,1127,11
RFD,PIE,1049,13
RFD,SFB,1025,10
RFD,SRQ,1085,16
RHI,MSP,190,13
RIC,ATL,481,12
RIC,BNA,527,11
RIC,BOS,474,11
RIC,BWI,121,10
RIC,CLT,257,13
RIC,DEN,1482,8
RIC,DFW,1158,15
RIC,DTW,456,12
RIC,EWR,277,14
RIC,FLL,805,10
RIC,IAH,1157,8
RIC,JFK,288,12
RIC,LAS,2086,6
RIC,LGA,292,13
RIC,MCO,667,16
RIC,MDW,629,12
RIC,MIA,825,6
RIC,MSP,970,7
RIC,ORD,642,6
RIC,PGD,779,15
RIC,PHL,198,16
RIC,PIE,731,16
RIC,RSW,799,21
RIC,SFB,643,15
RIC,TPA,723,19
RIW,DEN,296,5
RKS,DEN,260,5
RNO,ATL,1993,22
RNO,AUS,1405,12
RNO,BUR,374,10
RNO,DAL,1356,10
RNO,DEN,804,10
RNO,DFW,1345,11
RNO,IAH,1530,13
RNO,JFK,2411,23
RNO,LAS,345,13
RNO,LAX,391,12
RNO,LGB,402,11
RNO,MDW,1680,6
RNO,MSP,1405,6
RNO,OAK,181,7
RNO,ORD,1671,23
RNO,PDX,444,11
RNO,PHX,601,12
RNO,SAN,488,13
RNO,SEA,564,13
RNO,SFO,192,10
RNO,SJC,188,19
RNO,SLC,422,13
ROA,ATL,357,11
ROA,CLT,155,11
ROA,LGA,405,10
ROA,ORD,531,10
ROA,PHL,311,15
ROA,PIE,668,17
ROA,SFB,594,15
ROC,ATL,749,12
ROC,BWI,277,12
ROC,CLT,573,11
ROC,DCA,296,11
ROC,DTW,296,13
ROC,EWR,246,6
ROC,FLL,1183,6
ROC,IAD,288,10
ROC,JFK,264,11
ROC,LAS,2040,16
ROC,LGA,254,11
ROC,MCO,1033,14
ROC,MDW,523,7
ROC,MIA,1203,6
ROC,MYR,655,11
ROC,ORD,528,11
ROC,PGD,1143,13
ROC,PHL,257,10
ROC,SFB,1009,10
ROC,TPA,1079,14
ROW,DFW,435,11
RST,MSP,76,12
RST,ORD,268,6
RSW,ACY,982,13
RSW,ALB,1205,9
RSW,ATL,515,12
RSW,AUS,1001,18
RSW,BDL,1180,15
RSW,BNA,722,12
RSW,BOS,1249,13
RSW,BUF,1144,12
RSW,BWI,919,12
RSW,CHS,450,20
RSW,CLE,1025,13
RSW,CLT,600,11
RSW,CMH,930,13
RSW,CVG,879,16
RSW,DAL,1005,14
RSW,DCA,892,11
RSW,DEN,1607,15
RSW,DFW,1017,15
RSW,DTW,1084,14
RSW,EWR,1068,12
RSW,GRR,1147,9
RSW,HOU,852,12
RSW,HPN,1102,13
RSW,IAD,891,13
RSW,IAH,861,13
RSW,IND,945,13
RSW,ISP,1101,13
RSW,JFK,1074,11
RSW,LAX,2238,8
RSW,LGA,1080,15
RSW,MCI,1155,13
RSW,MCO,133,7
RSW,MDW,1105,13
RSW,MKE,1183,15
RSW,MSP,1416,14
RSW,ORD,1120,13
RSW,ORF,785,20
RSW,ORH,1220,12
RSW,PHL,993,14
RSW,PIT,966,12
RSW,PVD,1200,12
RSW,RIC,799,18
RSW,SDF,835,16
RSW,SEA,2623,9
RSW,SFO,2481,8
RSW,SJU,1150,11
RSW,STL,979,12
RSW,SYR,1186,14
RSW,TTN,1028,14
SAF,DEN,303,10
SAF,DFW,551,10
SAF,PHX,370,18
SAN,ABQ,628,13
SAN,ANC,2452,9
SAN,ATL,1892,11
SAN,AUS,1164,12
SAN,BLI,1142,9
SAN,BNA,1751,13
SAN,BOI,749,17
SAN,BOS,2588,14
SAN,BWI,2295,12
SAN,BZN,956,9
SAN,CLT,2077,12
SAN,CMH,1964,11
SAN,COS,816,12
SAN,DAL,1182,12
SAN,DEN,853,12
SAN,DFW,1171,10
SAN,DSM,1428,17
SAN,DTW,1956,12
SAN,EGE,745,12
SAN,ELP,636,13
SAN,EUG,850,14
SAN,EWR,2425,13
SAN,FAT,314,16
SAN,FCA,1086,9
SAN,FLL,2269,11
SAN,GEG,1027,19
SAN,HDN,769,11
SAN,HNL,2614,9
SAN,HOU,1313,13
SAN,IAD,2253,10
SAN,IAH,1303,11
SAN,IND,1782,12
